4,112,88,2640,18.6,82,1,27
4,97,88,2130,14.5,70,3,27
8,454,220,4354,9,70,1,14
6,232,100,2901,16,74,1,19
8,400,170,4668,11.5,75,1,16
4,112,85,2575,16.2,82,1,31
8,318,145,4140,13.7,77,1,15.5
4,122,88,2500,15.1,80,2,35
4,91,68,1970,17.6,82,3,31
4,105,63,2125,14.7,82,1,38
4,98,70,2125,17.3,82,1,36
4,120,88,2160,14.5,82,3,36
4,107,75,2205,14.5,82,3,36
4,108,70,2245,16.9,82,3,34
4,89,71,1925,14,79,2,31.9
4,86,65,1975,15.2,79,3,34.1
4,98,80,1915,14.4,79,1,35.7
4,121,80,2670,15,79,1,27.4
4,122,96,2300,15.5,77,1,25.5
4,85,70,1945,16.8,77,3,33.5
